mass,success,t_exp,t_rev
16.299999999999272,True,1,1
16.299999999999272,True,1,1
16.299999999999272,True,1,2
16.299999999999272,True,1,1
16.299999999999272,True,1,1
16.299999999999272,True,1,1
16.30000000000109,True,1,3
16.30000000000109,True,1,5
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.30000000000109,True,1,1
16.399999999997817,True,1,1
16.399999999997817,True,1,2
16.399999999997817,True,1,1
16.399999999999636,True,1,1
16.399999999999636,True,1,4
16.399999999999636,True,1,1
16.399999999999636,True,1,1
16.399999999999636,True,1,1
16.400000000001455,True,1,1
16.400000000001455,True,1,1
16.400000000001455,True,1,3
16.400000000001455,True,1,2
16.49999999999818,True,1,2
16.49999999999818,True,1,4
16.49999999999818,True,1,2
16.49999999999818,True,1,1
16.49999999999818,True,1,2
16.5,True,1,1
16.5,True,1,1
16.5,True,1,3
16.5,True,1,1
16.5,True,1,1
16.5,True,1,2
16.5,True,1,1
16.5,True,1,2
16.50000000000182,True,1,1
16.50000000000182,True,1,1
16.50000000000182,True,1,1
16.50000000000182,True,1,1
16.599999999998545,True,1,2
16.599999999998545,True,1,2
16.600000000000364,True,1,1
16.600000000000364,True,1,1
16.600000000000364,True,1,1
16.600000000000364,True,1,2
16.600000000000364,True,1,1
16.600000000000364,True,1,2
16.600000000000364,True,1,2
16.600000000000364,True,1,3
16.600000000000364,True,1,2
16.600000000000364,True,1,3
16.600000000000364,True,1,1
16.600000000000364,True,1,1
16.69999999999709,True,1,2
16.69999999999709,True,1,1
16.69999999999891,True,1,1
16.69999999999891,True,1,1
16.700000000000728,True,1,1
16.700000000000728,True,1,2
16.700000000000728,True,1,1
16.700000000000728,True,1,1
16.700000000000728,True,1,2
16.700000000000728,True,1,3
16.700000000000728,True,1,2
16.700000000000728,True,1,1
16.700000000000728,True,1,2
16.700000000000728,True,1,1
16.700000000000728,True,1,1
16.799999999999272,True,1,1
16.799999999999272,True,1,1
16.799999999999272,True,1,5
16.799999999999272,True,1,1
16.80000000000109,True,1,1
16.80000000000109,True,1,1
16.80000000000109,True,1,3
16.80000000000109,True,1,1
16.80000000000109,True,1,1
16.80000000000109,True,1,1
16.80000000000109,True,1,2
16.80000000000109,True,1,1
16.899999999999636,True,1,2
16.899999999999636,True,1,3
16.899999999999636,True,1,1
16.899999999999636,True,1,1
16.899999999999636,True,1,2
16.899999999999636,True,1,1
16.899999999999636,True,1,2
16.899999999999636,True,1,1
16.899999999999636,True,1,1
16.899999999999636,True,1,3
16.900000000001455,True,1,1
16.900000000001455,True,1,1
16.999999999996362,True,1,1
16.999999999996362,True,1,5
16.99999999999818,True,1,1
16.99999999999818,True,1,1
16.99999999999818,True,1,1
16.99999999999818,True,1,2
16.99999999999818,True,1,1
16.99999999999818,True,1,1
16.99999999999818,True,1,5
16.99999999999818,True,1,1
16.99999999999818,True,1,2
16.99999999999818,True,1,2
16.99999999999818,True,1,1
16.99999999999909,True,1,1
16.99999999999909,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,3
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,4
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,3
17.0,True,1,2
17.0,True,1,2
17.0,True,1,2
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.0,True,1,3
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,4
17.0,True,1,2
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.0,True,1,6
17.0,True,1,2
17.0,True,1,2
17.0,True,1,6
17.0,True,1,1
17.0,True,1,2
17.0,True,1,2
17.0,True,1,4
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,3
17.0,True,1,2
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,3
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.0,True,1,3
17.0,True,1,2
17.0,True,1,1
17.0,True,1,1
17.0,True,1,1
17.0,True,1,2
17.0,True,1,1
17.00000000000091,True,1,1
17.00000000000091,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,2
17.00000000000182,True,1,1
17.00000000000182,True,1,2
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.00000000000182,True,1,3
17.00000000000182,True,1,1
17.00000000000182,True,1,3
17.00000000000182,True,1,1
17.00000000000182,True,1,1
17.099999999998545,True,1,1
17.099999999998545,True,1,1
17.100000000000364,True,1,1
17.100000000000364,True,1,2
17.100000000000364,True,1,1
17.100000000000364,True,1,1
17.100000000000364,True,1,2
17.100000000000364,True,1,1
17.100000000002183,True,1,1
17.19999999999891,True,1,1
17.19999999999891,True,1,1
17.19999999999891,True,1,1
17.200000000000728,True,1,2
17.200000000000728,True,1,2
17.200000000000728,True,1,3
17.200000000000728,True,1,1
17.200000000000728,True,1,2
17.200000000000728,True,1,1
17.200000000002547,True,1,1
17.299999999997453,True,1,1
17.299999999997453,True,1,1
17.299999999999272,True,1,1
17.299999999999272,True,1,1
17.299999999999272,True,1,2
17.299999999999272,True,1,1
17.299999999999272,True,1,1
17.299999999999272,True,1,2
17.299999999999272,True,1,4
17.30000000000109,True,1,1
17.30000000000109,True,1,2
17.399999999997817,True,1,4
17.399999999997817,True,1,2
17.399999999997817,True,1,6
17.399999999997817,True,1,1
17.399999999999636,True,1,1
17.399999999999636,True,1,2
17.399999999999636,True,1,1
17.400000000001455,True,1,1
17.400000000001455,True,1,3
17.400000000001455,True,1,1
17.400000000001455,True,1,1
17.400000000001455,True,1,1
17.49999999999818,True,1,1
17.49999999999818,True,1,3
17.49999999999818,True,1,1
17.49999999999818,True,1,3
17.49999999999818,True,1,1
17.5,True,1,1
17.5,True,1,10
17.5,True,1,1
17.5,True,1,2
17.5,True,1,2
17.5,True,1,1
17.5,True,1,1
17.50000000000182,True,1,2
17.50000000000182,True,1,1
17.50000000000182,True,1,3
17.50000000000182,True,1,4
17.50000000000182,True,1,1
17.599999999998545,True,1,1
17.599999999998545,True,1,1
17.599999999998545,True,1,1
17.599999999998545,True,1,2
17.599999999998545,True,1,1
17.600000000000364,True,1,2
17.600000000000364,True,1,1
17.600000000000364,True,1,4
17.600000000000364,True,1,1
17.600000000000364,True,1,3
17.600000000000364,True,1,1
17.600000000000364,True,1,1
17.600000000000364,True,1,1
17.600000000000364,True,1,6
17.600000000000364,True,1,1
17.69999999999709,True,1,13
17.700000000000728,True,1,3
17.700000000000728,True,1,1
17.700000000000728,True,1,1
17.700000000000728,True,1,2
17.700000000000728,True,1,2
17.700000000000728,True,1,1
17.700000000000728,True,1,1
17.700000000000728,True,1,1
17.799999999997453,True,1,8
17.799999999999272,True,1,1
17.799999999999272,True,1,2
17.799999999999272,True,1,3
17.799999999999272,True,1,2
17.799999999999272,True,1,1
17.799999999999272,True,1,1
17.799999999999272,True,1,1
17.80000000000109,True,1,2
17.80000000000109,True,1,2
17.80000000000109,True,1,1
17.80000000000109,True,1,1
17.80000000000109,True,1,1
17.899999999999636,True,1,2
17.899999999999636,True,1,3
17.899999999999636,True,1,1
17.899999999999636,True,1,1
17.899999999999636,True,1,1
17.899999999999636,True,1,2
17.899999999999636,True,1,1
17.900000000001455,True,1,1
17.900000000001455,True,1,14
17.999999999996362,True,1,2
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.999999999996362,True,1,2
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.999999999996362,True,1,2
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.999999999996362,True,1,1
17.99999999999818,True,1,1
17.99999999999818,True,1,1
17.99999999999818,True,1,1
17.99999999999909,True,1,1
18.0,True,1,8
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,5
18.0,True,1,1
18.0,True,1,2
18.0,True,1,4
18.0,True,1,7
18.0,True,1,5
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,3
18.0,True,1,1
18.0,True,1,3
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,4
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,15
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,3
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,5
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,2
18.0,True,1,2
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,4
18.0,True,1,2
18.0,True,1,1
18.0,True,1,2
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,3
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,3
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.0,True,1,1
18.00000000000091,True,1,1
18.00000000000182,True,1,6
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,3
18.00000000000182,True,1,1
18.00000000000182,True,1,1
18.00000000000182,True,1,2
18.00000000000182,True,1,1
18.00000000000182,True,1,2
18.00000000000182,True,1,1
18.00000000000182,True,1,16
18.00000000000182,True,1,1
18.00000000000182,True,1,3
18.00000000000182,True,1,2
18.00000000000182,True,1,2
18.099999999998545,True,1,1
18.100000000000364,True,1,1
18.100000000000364,True,1,9
18.100000000000364,True,1,2
18.100000000000364,True,1,1
18.100000000002183,True,1,1
18.100000000002183,True,1,1
18.100000000002183,True,1,1
18.19999999999891,True,1,1
18.19999999999891,True,1,3
18.19999999999891,True,1,1
18.19999999999891,True,1,1
18.19999999999891,True,1,2
18.19999999999891,True,1,1
18.200000000000728,True,1,1
18.200000000000728,True,1,1
18.200000000000728,True,1,1
18.200000000000728,True,1,1
18.200000000002547,True,1,1
18.299999999999272,True,1,4
18.299999999999272,True,1,1
18.299999999999272,True,1,1
18.299999999999272,True,1,3
18.299999999999272,True,1,3
18.30000000000109,True,1,2
18.30000000000109,True,1,3
18.30000000000109,True,1,1
18.399999999997817,True,1,4
18.399999999997817,True,1,1
18.399999999997817,True,1,2
18.399999999997817,True,1,1
18.399999999997817,True,1,3
18.399999999997817,True,1,1
18.399999999999636,True,1,1
18.399999999999636,True,1,1
18.399999999999636,True,1,2
18.399999999999636,True,1,1
18.399999999999636,True,1,1
18.399999999999636,True,1,1
18.399999999999636,True,1,4
18.399999999999636,True,1,1
18.399999999999636,True,1,6
18.400000000001455,True,1,1
18.400000000001455,True,1,1
18.400000000001455,True,1,1
18.400000000001455,True,1,2
18.400000000001455,True,1,1
18.49999999999818,True,1,2
18.49999999999818,True,1,1
18.49999999999818,True,1,1
18.5,True,1,1
18.5,True,1,3
18.5,True,1,2
18.5,True,1,4
18.50000000000182,True,1,8
18.50000000000182,True,1,5
18.50000000000182,True,1,1
18.50000000000182,True,1,1
18.599999999998545,True,1,2
18.600000000000364,True,1,1
18.600000000000364,True,1,2
18.600000000000364,True,1,2
18.600000000000364,True,1,1
18.600000000000364,True,1,1
18.600000000000364,True,1,2
18.600000000000364,True,1,1
18.600000000000364,True,1,1
18.600000000002183,True,1,1
18.69999999999891,True,1,2
18.69999999999891,True,1,1
18.700000000000728,True,1,1
18.700000000000728,True,1,1
18.700000000000728,True,1,2
18.700000000000728,True,1,2
18.700000000000728,True,1,2
18.700000000000728,True,1,2
18.700000000000728,True,1,1
18.700000000000728,True,1,1
18.799999999997453,True,1,1
18.799999999997453,True,1,1
18.799999999997453,True,1,1
18.799999999999272,True,1,2
18.799999999999272,True,1,1
18.799999999999272,True,1,1
18.799999999999272,True,1,1
18.799999999999272,True,1,2
18.799999999999272,True,1,2
18.799999999999272,True,1,1
18.80000000000109,True,1,2
18.80000000000109,True,1,1
18.80000000000109,True,1,2
18.80000000000109,True,1,1
18.899999999997817,True,1,1
18.899999999997817,True,1,1
18.899999999997817,True,1,1
18.899999999999636,True,1,1
18.899999999999636,True,1,2
18.899999999999636,True,1,2
18.899999999999636,True,1,1
18.899999999999636,True,1,7
18.899999999999636,True,1,1
18.899999999999636,True,1,1
18.899999999999636,True,1,1
18.899999999999636,True,1,2
18.899999999999636,True,1,1
18.899999999999636,True,1,1
18.900000000001455,True,1,1
18.900000000003274,True,1,1
18.999999999996362,True,1,1
18.999999999996362,True,1,2
18.999999999996362,True,1,1
18.999999999996362,True,1,2
18.999999999996362,True,1,1
18.999999999996362,True,1,1
18.99999999999818,True,1,1
18.99999999999818,True,1,1
18.99999999999818,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,3
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,5
19.0,True,1,1
19.0,True,1,2
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,3
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,3
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,2
19.0,True,1,2
19.0,True,1,3
19.0,True,1,8
19.0,True,1,1
19.0,True,1,3
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,5
19.0,True,1,1
19.0,True,1,3
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,2
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,1
19.0,True,1,6
19.00000000000091,True,1,1
19.00000000000091,True,1,2
19.00000000000091,True,1,1
19.00000000000182,True,1,2
19.00000000000182,True,1,1
19.00000000000182,True,1,1
19.00000000000182,True,1,1
19.00000000000182,True,1,3
