bin,count,percent
50/50 (Total Equilibrio),44046,28.472617262243364
60/40 (Tendencia Leve),76408,49.39235662201996
70/30 (Tendencia Forte),31535,20.38514247297926
80/20 (Tendencia Extrema),2707,1.749883642757408
90/10 (Supernova),0,0.0
